customer_id,company_name,industry,country,city,segment,contract_type
1,Fischer LLC,Automotive,UK,Casablanca,Startup,Monthly
2,Mitchell Ltd,Manufacturing,France,Dubai,Startup,Annual
3,Williamson LLC,Automotive,Kenya,London,Startup,Monthly
4,Garcia-Bell,Retail,Morocco,London,Enterprise,Annual
5,Simmons Inc,Food & Beverage,Spain,Casablanca,Startup,Annual
6,Clark and Sons,Automotive,Kenya,Amsterdam,Enterprise,Monthly
7,Young-Morgan,Food & Beverage,Nigeria,Casablanca,Enterprise,Spot
8,"Ferguson, Stephens and Wells",Electronics,Egypt,Lagos,Enterprise,Annual
9,Suarez Ltd,Pharma,UK,London,SME,Annual
10,Goodwin Inc,Pharma,Egypt,Barcelona,SME,Annual
11,Taylor LLC,Automotive,Turkey,Nairobi,Enterprise,Monthly
12,"Jones, Knight and Fisher",Retail,Kenya,Lagos,Startup,Spot
13,Barnes-Eaton,Pharma,Spain,Paris,Startup,Annual
14,"Doyle, Vance and Santiago",Retail,France,Lagos,Enterprise,Annual
15,Chan and Sons,Retail,NL,Lagos,SME,Spot
16,Dennis-Diaz,Pharma,UAE,Cairo,SME,Annual
17,"Lopez, Ramsey and Valdez",Automotive,Nigeria,London,Startup,Spot
18,Murray-Kelley,Manufacturing,Kenya,Paris,Enterprise,Monthly
19,"Smith, Green and Brown",Electronics,Nigeria,Nairobi,Enterprise,Spot
20,"Villegas, Moss and Johnson",Pharma,Morocco,Paris,Enterprise,Monthly
21,Owens-Jones,Electronics,Nigeria,London,Enterprise,Spot
22,Green-Moore,Automotive,Egypt,Paris,Startup,Monthly
23,Rojas Group,Electronics,Turkey,Dubai,SME,Annual
24,"Mclean, Chapman and Reed",Manufacturing,Kenya,Nairobi,SME,Spot
25,Howe-Henry,Food & Beverage,NL,Barcelona,SME,Monthly
26,"Rosales, Graves and Wilson",Manufacturing,UAE,Nairobi,SME,Annual
27,"Decker, Williams and Schmidt",Retail,UK,Dubai,Startup,Annual
28,"Mclaughlin, Jackson and Walker",Automotive,NL,Barcelona,Enterprise,Monthly
29,"Drake, Perez and Hoffman",Electronics,Spain,Istanbul,Startup,Monthly
30,Mendez Ltd,Food & Beverage,Morocco,London,Startup,Spot
31,Hanson-Green,Pharma,Egypt,London,SME,Monthly
32,Carlson-Ruiz,Manufacturing,Turkey,Casablanca,Startup,Spot
33,"Smith, Holmes and Clark",Pharma,Kenya,Dubai,Startup,Annual
34,Roberts PLC,Automotive,Nigeria,Nairobi,Startup,Annual
35,Chen and Sons,Manufacturing,Egypt,Dubai,Startup,Spot
36,"Patton, Wilson and Moody",Retail,Spain,Cairo,SME,Annual
37,Curtis-Johnson,Retail,Egypt,Lagos,Enterprise,Annual
38,"Sanchez, Davis and Williamson",Manufacturing,Spain,London,Enterprise,Spot
39,Davila-Carr,Electronics,UK,Nairobi,Enterprise,Annual
40,Mitchell LLC,Automotive,Turkey,Nairobi,Enterprise,Monthly
41,"Vargas, Farmer and Dixon",Food & Beverage,Spain,Amsterdam,Enterprise,Spot
42,Turner and Sons,Automotive,France,Lagos,SME,Spot
43,Williams-Sexton,Automotive,Egypt,Istanbul,Startup,Monthly
44,Williams Group,Retail,France,Paris,Enterprise,Monthly
45,Morales-Taylor,Retail,Spain,Nairobi,Enterprise,Spot
