customer_id,company_name,industry,country,city,segment,contract_type
1,Thompson PLC,Automotive,UK,Casablanca,Startup,Monthly
2,Vasquez PLC,Manufacturing,France,Dubai,Startup,Annual
3,"Cooper, Hill and Johnson",Automotive,Kenya,London,Startup,Monthly
4,"Mora, Adams and Knox",Retail,Morocco,London,Enterprise,Annual
5,"Aguilar, Thomas and Hansen",Food & Beverage,Spain,Casablanca,Startup,Annual
6,Thompson-Hawkins,Automotive,Kenya,Amsterdam,Enterprise,Monthly
7,Newton PLC,Food & Beverage,Nigeria,Casablanca,Enterprise,Spot
8,Green-Murray,Electronics,Egypt,Lagos,Enterprise,Annual
9,Reynolds LLC,Pharma,UK,London,SME,Annual
10,Maldonado-Gomez,Pharma,Egypt,Barcelona,SME,Annual
11,Hughes-Vasquez,Automotive,Turkey,Nairobi,Enterprise,Monthly
12,Davis-Pitts,Retail,Kenya,Lagos,Startup,Spot
13,Young Inc,Pharma,Spain,Paris,Startup,Annual
14,"Castaneda, Russell and Holmes",Retail,France,Lagos,Enterprise,Annual
15,Pena-Sanchez,Retail,NL,Lagos,SME,Spot
16,Long and Sons,Pharma,UAE,Cairo,SME,Annual
17,Flowers Ltd,Automotive,Nigeria,London,Startup,Spot
18,"Frank, Fleming and Leon",Manufacturing,Kenya,Paris,Enterprise,Monthly
19,Davenport-Powell,Electronics,Nigeria,Nairobi,Enterprise,Spot
20,Alexander PLC,Pharma,Morocco,Paris,Enterprise,Monthly
21,York-Taylor,Electronics,Nigeria,London,Enterprise,Spot
22,Ramirez-Sanchez,Automotive,Egypt,Paris,Startup,Monthly
23,"Smith, Mckinney and Harris",Electronics,Turkey,Dubai,SME,Annual
24,"Mills, Cunningham and Sweeney",Manufacturing,Kenya,Nairobi,SME,Spot
25,"Burke, Lee and Thomas",Food & Beverage,NL,Barcelona,SME,Monthly
26,Garcia Group,Manufacturing,UAE,Nairobi,SME,Annual
27,"Holland, Potter and Johnson",Retail,UK,Dubai,Startup,Annual
28,"Cameron, Weaver and Gallegos",Automotive,NL,Barcelona,Enterprise,Monthly
29,"Mckay, Hayes and Brown",Electronics,Spain,Istanbul,Startup,Monthly
30,Rodriguez-Bass,Food & Beverage,Morocco,London,Startup,Spot
31,Allison LLC,Pharma,Egypt,London,SME,Monthly
32,Sherman PLC,Manufacturing,Turkey,Casablanca,Startup,Spot
33,Parrish-Leonard,Pharma,Kenya,Dubai,Startup,Annual
34,Watson-Wilson,Automotive,Nigeria,Nairobi,Startup,Annual
35,Harris Ltd,Manufacturing,Egypt,Dubai,Startup,Spot
36,Ayala-Houston,Retail,Spain,Cairo,SME,Annual
37,Smith Group,Retail,Egypt,Lagos,Enterprise,Annual
38,"Lambert, Garner and Nash",Manufacturing,Spain,London,Enterprise,Spot
39,Cunningham PLC,Electronics,UK,Nairobi,Enterprise,Annual
40,Lewis-Snyder,Automotive,Turkey,Nairobi,Enterprise,Monthly
41,Mckay-Smith,Food & Beverage,Spain,Amsterdam,Enterprise,Spot
42,Whitaker-Robinson,Automotive,France,Lagos,SME,Spot
